省份,年份,年平均气温(°C),气温距平(°C),年降水量(mm),降水年变化率(%),春季均温(°C),无霜期(天),日照时数(h),平均风速(m/s),平均相对湿度(%),高温日数(≥35°C),暴雨日数(≥50mm),花期提前(天),主要蜜源植物,主要流蜜月份,数据来源
四川,2021,17.5,1.0,988.0,-6.4,14.5,282,1070,1.5,81,18,6,2,油菜、柑橘,3,估算
四川,2022,17.4,0.9,902.5,-8.7,14.4,282,1120,1.5,79,18,5,2,油菜、柑橘,3,估算(基于国家气候公报)
四川,2023,17.3,0.8,988.0,9.5,14.3,281,1070,1.5,81,17,6,2,油菜、柑橘,3,估算
浙江,2000,17.2,0.0,1425.0,,13.7,250,1720,2.5,78,20,9,0,油菜、柑橘,3,气温确认+降水估算
浙江,2001,17.3,0.1,1455.0,2.1,13.8,250,1710,2.5,78,20,9,0,油菜、柑橘,3,气温确认+降水估算
浙江,2002,17.4,0.2,1485.0,2.1,13.9,251,1700,2.5,78,21,9,1,油菜、柑橘,3,气温确认+降水估算
浙江,2003,17.4,0.2,1350.0,-9.1,13.9,251,1760,2.5,76,21,8,1,油菜、柑橘,3,气温确认+降水估算
浙江,2004,17.8,0.6,1470.0,8.9,14.3,252,1710,2.5,78,22,9,1,油菜、柑橘,3,气温确认+降水估算
浙江,2005,17.4,0.2,1500.0,2.0,13.9,251,1690,2.5,78,21,9,1,油菜、柑橘,3,气温确认+降水估算
浙江,2006,17.6,0.4,1440.0,-4.0,14.1,252,1720,2.5,77,22,9,1,油菜、柑橘,3,气温确认+降水估算
浙江,2007,17.8,0.6,1470.0,2.1,14.3,252,1710,2.5,78,23,9,1,油菜、柑橘,3,气温确认+降水估算
浙江,2008,17.3,0.1,1530.0,4.1,13.8,250,1680,2.5,79,21,10,0,油菜、柑橘,3,气温确认+降水估算
浙江,2009,17.6,0.4,1500.0,-2.0,14.1,252,1700,2.5,78,22,9,1,油菜、柑橘,3,气温确认+降水估算
浙江,2010,17.3,0.1,1560.0,4.0,13.8,250,1670,2.5,79,21,10,0,油菜、柑橘,3,气温确认+降水估算
浙江,2011,17.7,0.5,1515.0,-2.9,14.2,252,1690,2.5,78,22,10,1,油菜、柑橘,3,估算(基于国家气候公报)
浙江,2012,17.4,0.2,1500.0,-1.0,13.9,251,1700,2.5,78,21,9,1,油菜、柑橘,3,估算(基于国家气候公报)
浙江,2013,17.8,0.6,1350.0,-10.0,14.3,252,1740,2.5,76,23,8,1,油菜、柑橘,3,估算(基于国家气候公报)
浙江,2014,17.7,0.5,1470.0,8.9,14.2,252,1710,2.5,78,22,9,1,油菜、柑橘,3,估算(基于国家气候公报)
浙江,2015,18.1,0.9,1485.0,1.0,14.6,253,1700,2.5,78,24,9,2,油菜、柑橘,3,估算(基于国家气候公报)
浙江,2016,18.0,0.8,1650.0,11.1,14.5,253,1650,2.5,80,24,11,2,油菜、柑橘,3,估算(基于国家气候公报)
浙江,2017,18.0,0.8,1530.0,-7.3,14.5,253,1680,2.5,79,24,10,2,油菜、柑橘,3,估算(基于国家气候公报)
浙江,2018,17.7,0.5,1500.0,-2.0,14.2,252,1700,2.5,78,22,9,1,油菜、柑橘,3,估算(基于国家气候公报)
浙江,2019,18.0,0.8,1950.3,30.0,14.5,253,1600,2.5,82,24,14,2,油菜、柑橘,3,气温估算+降水确认
浙江,2020,17.9,0.7,1701.0,-12.8,14.4,253,1640,2.5,80,23,11,2,油菜、柑橘,3,气温估算+降水确认
浙江,2021,18.2,1.0,1545.0,-9.2,14.7,254,1680,2.5,79,25,10,2,油菜、柑橘,3,估算
浙江,2022,17.8,0.6,1425.0,-7.8,14.3,252,1740,2.5,77,23,9,1,油菜、柑橘,3,估算
浙江,2023,18.0,0.8,1560.0,9.5,14.5,253,1680,2.5,78,24,10,2,油菜、柑橘,3,估算
湖北,2000,19.2,1.6,1045.0,,16.2,258,1720,2.5,77,26,7,1,油菜、紫云英,3,气温确认+降水估算
湖北,2001,18.0,0.4,1067.0,2.1,15.0,255,1700,2.5,77,22,7,0,油菜、紫云英,3,气温确认+降水估算
湖北,2002,17.9,0.3,1089.0,2.1,14.9,255,1690,2.5,77,22,7,0,油菜、紫云英,3,气温确认+降水估算
湖北,2003,17.4,-0.2,1045.0,-4.0,14.4,253,1720,2.5,76,21,7,-1,油菜、紫云英,3,气温确认+降水估算
湖北,2004,18.3,0.7,1078.0,3.2,15.3,256,1700,2.5,77,23,7,1,油菜、紫云英,3,气温确认+降水估算
湖北,2005,17.8,0.2,1111.0,3.1,14.8,255,1680,2.5,77,22,7,0,油菜、紫云英,3,气温确认+降水估算
湖北,2006,18.3,0.7,1045.0,-5.9,15.3,256,1720,2.5,76,23,7,1,油菜、紫云英,3,气温确认+降水估算
湖北,2007,18.6,1.0,1078.0,3.2,15.6,257,1700,2.5,77,24,7,1,油菜、紫云英,3,气温确认+降水估算
湖北,2008,17.6,0.0,1133.0,5.1,14.6,254,1670,2.5,78,21,8,0,油菜、紫云英,3,气温确认+降水估算
湖北,2009,17.9,0.3,1100.0,-2.9,14.9,255,1690,2.5,77,22,7,0,油菜、紫云英,3,气温确认+降水估算
湖北,2010,16.6,-1.0,1155.0,5.0,13.6,251,1650,2.5,79,19,8,-1,油菜、紫云英,3,气温确认+降水估算
湖北,2011,18.1,0.5,1111.0,-3.8,15.1,256,1680,2.5,77,23,7,1,油菜、紫云英,3,估算(基于国家气候公报)
湖北,2012,17.8,0.2,1100.0,-1.0,14.8,255,1690,2.5,77,22,7,0,油菜、紫云英,3,估算(基于国家气候公报)
湖北,2013,18.2,0.6,1045.0,-5.0,15.2,256,1720,2.5,76,23,7,1,油菜、紫云英,3,估算(基于国家气候公报)
湖北,2014,18.1,0.5,1089.0,4.2,15.1,256,1700,2.5,77,23,7,1,油菜、紫云英,3,估算(基于国家气候公报)
湖北,2015,18.5,0.9,1100.0,1.0,15.5,257,1690,2.5,77,25,7,2,油菜、紫云英,3,估算(基于国家气候公报)
湖北,2016,18.4,0.8,1210.0,10.0,15.4,257,1640,2.5,79,24,9,2,油菜、紫云英,3,估算(基于国家气候公报)
湖北,2017,18.4,0.8,1133.0,-6.4,15.4,257,1670,2.5,78,24,8,2,油菜、紫云英,3,估算(基于国家气候公报)
湖北,2018,18.1,0.5,1111.0,-1.9,15.1,256,1680,2.5,77,23,7,1,油菜、紫云英,3,估算(基于国家气候公报)
湖北,2019,18.4,0.8,893.5,-19.6,15.4,257,1760,2.5,74,24,5,2,油菜、紫云英,3,估算
湖北,2020,18.3,0.7,1642.6,83.8,15.3,257,1560,2.5,83,23,12,2,油菜、紫云英,3,气温估算+降水确认
湖北,2021,18.6,1.0,1133.0,-31.0,15.6,257,1670,2.5,78,25,8,2,油菜、紫云英,3,估算
湖北,2022,18.2,0.6,1045.0,-7.8,15.2,256,1720,2.5,76,24,7,1,油菜、紫云英,3,估算(基于国家气候公报)
湖北,2023,18.4,0.8,1155.0,10.5,15.4,257,1680,2.5,78,24,8,2,油菜、紫云英,3,估算
广东,2000,22.4,-0.1,1710.0,,19.4,345,1780,2.5,80,29,14,0,荔枝、龙眼,3,气温确认+降水估算
广东,2001,22.5,0.0,1746.0,2.1,19.5,345,1760,2.5,80,29,14,0,荔枝、龙眼,3,气温确认+降水估算
广东,2002,22.5,0.0,1782.0,2.1,19.5,345,1750,2.5,80,29,14,0,荔枝、龙眼,3,气温确认+降水估算
广东,2003,22.9,0.4,1620.0,-9.1,19.9,346,1820,2.5,78,31,12,1,荔枝、龙眼,3,气温确认+降水估算
广东,2004,22.9,0.4,1764.0,8.9,19.9,346,1770,2.5,80,31,14,1,荔枝、龙眼,3,气温确认+降水估算
广东,2005,22.8,0.3,1800.0,2.0,19.8,346,1750,2.5,80,30,14,1,荔枝、龙眼,3,气温确认+降水估算
广东,2006,23.2,0.7,1728.0,-4.0,20.2,347,1780,2.5,79,33,13,1,荔枝、龙眼,3,气温确认+降水估算
广东,2007,23.2,0.7,1764.0,2.1,20.2,347,1770,2.5,80,33,14,1,荔枝、龙眼,3,气温确认+降水估算
广东,2008,22.4,-0.1,1836.0,4.1,19.4,345,1730,2.5,81,29,15,0,荔枝、龙眼,3,气温确认+降水估算
广东,2009,23.0,0.5,1800.0,-2.0,20.0,346,1750,2.5,80,31,14,1,荔枝、龙眼,3,气温确认+降水估算
广东,2010,22.5,0.0,1872.0,4.0,19.5,345,1720,2.5,81,29,15,0,荔枝、龙眼,3,气温确认+降水估算
广东,2011,23.0,0.5,1818.0,-2.9,20.0,346,1740,2.5,80,31,14,1,荔枝、龙眼,3,估算(基于国家气候公报)
广东,2012,22.7,0.2,1800.0,-1.0,19.7,345,1750,2.5,80,30,14,1,荔枝、龙眼,3,估算(基于国家气候公报)
广东,2013,23.1,0.6,1620.0,-10.0,20.1,346,1820,2.5,78,32,12,1,荔枝、龙眼,3,估算(基于国家气候公报)
广东,2014,23.0,0.5,1764.0,8.9,20.0,346,1770,2.5,80,31,14,1,荔枝、龙眼,3,估算(基于国家气候公报)
广东,2015,23.4,0.9,1782.0,1.0,20.4,347,1760,2.5,80,34,14,2,荔枝、龙眼,3,估算(基于国家气候公报)
广东,2016,23.3,0.8,1980.0,11.1,20.3,347,1700,2.5,82,33,17,2,荔枝、龙眼,3,估算(基于国家气候公报)
广东,2017,23.3,0.8,1836.0,-7.3,20.3,347,1740,2.5,81,33,15,2,荔枝、龙眼,3,估算(基于国家气候公报)
广东,2018,23.0,0.5,1800.0,-2.0,20.0,346,1750,2.5,80,31,14,1,荔枝、龙眼,3,估算(基于国家气候公报)
广东,2019,23.4,0.9,1993.6,10.8,20.4,347,1690,2.5,82,34,17,2,荔枝、龙眼,3,气温估算+降水确认
广东,2020,23.2,0.7,1574.1,-21.0,20.2,347,1840,2.5,78,33,12,2,荔枝、龙眼,3,气温估算+降水确认
广东,2021,23.5,1.0,1818.0,15.5,20.5,347,1740,2.5,80,35,14,2,荔枝、龙眼,3,估算
广东,2022,23.1,0.6,1710.0,-5.9,20.1,346,1800,2.5,79,32,13,1,荔枝、龙眼,3,估算
广东,2023,23.3,0.8,1836.0,7.4,20.3,347,1750,2.5,80,33,15,2,荔枝、龙眼,3,估算
云南,2000,16.3,0.4,997.5,,13.8,280,2220,2.0,72,5,5,1,油菜、野花,2,气温确认+降水估算
云南,2001,15.6,-0.3,1029.0,3.2,13.1,278,2200,2.0,73,4,5,-1,油菜、野花,2,气温确认+降水估算
云南,2002,16.0,0.1,1050.0,2.0,13.5,279,2190,2.0,72,5,5,0,油菜、野花,2,气温确认+降水估算
云南,2003,16.1,0.2,997.5,-5.0,13.6,279,2220,2.0,71,5,5,0,油菜、野花,2,气温确认+降水估算
云南,2004,16.4,0.5,1029.0,3.2,13.9,280,2210,2.0,72,5,5,0,油菜、野花,2,气温确认+降水估算
云南,2005,16.7,0.8,1050.0,2.0,14.2,281,2190,2.0,72,6,5,1,油菜、野花,2,气温确认+降水估算
云南,2006,16.4,0.5,997.5,-5.0,13.9,280,2220,2.0,71,5,5,0,油菜、野花,2,气温确认+降水估算
云南,2007,15.8,-0.1,1029.0,3.2,13.3,278,2210,2.0,72,4,5,-1,油菜、野花,2,气温确认+降水估算
云南,2008,15.4,-0.5,1087.5,5.7,12.9,277,2170,2.0,73,3,6,-2,油菜、野花,2,气温确认+降水估算
云南,2009,16.6,0.7,1008.0,-7.3,14.1,280,2210,2.0,72,6,5,1,油菜、野花,2,气温确认+降水估算
云南,2010,16.7,0.8,997.5,-1.0,14.2,281,2220,2.0,71,6,5,1,油菜、野花,2,气温确认+降水估算
云南,2011,16.4,0.5,1050.0,5.3,13.9,280,2190,2.0,72,5,5,0,油菜、野花,2,估算(基于国家气候公报)
云南,2012,16.1,0.2,1050.0,0.0,13.6,279,2190,2.0,72,5,5,0,油菜、野花,2,估算(基于国家气候公报)
云南,2013,16.5,0.6,1035.0,-1.4,14.0,280,2200,2.0,72,5,5,1,油菜、野花,2,估算(基于国家气候公报)
云南,2014,16.4,0.5,1050.0,1.4,13.9,280,2190,2.0,72,5,5,0,油菜、野花,2,估算(基于国家气候公报)
云南,2015,16.8,0.9,1071.0,2.0,14.3,281,2180,2.0,72,6,5,1,油菜、野花,2,估算(基于国家气候公报)
云南,2016,16.7,0.8,1155.0,7.8,14.2,281,2150,2.0,74,6,6,1,油菜、野花,2,估算(基于国家气候公报)
云南,2017,16.7,0.8,1071.0,-7.3,14.2,281,2180,2.0,72,6,5,1,油菜、野花,2,估算(基于国家气候公报)
云南,2018,16.4,0.5,1071.0,0.0,13.9,280,2180,2.0,72,5,5,0,油菜、野花,2,估算(基于国家气候公报)
云南,2019,16.7,0.8,1008.0,-5.9,14.2,281,2210,2.0,72,6,5,1,油菜、野花,2,气温估算+降水确认
云南,2020,16.6,0.7,1157.2,14.8,14.1,280,2150,2.0,74,6,6,1,油菜、野花,2,气温估算+降水确认
云南,2021,16.9,1.0,1071.0,-7.4,14.4,281,2180,2.0,72,7,5,2,油菜、野花,2,估算
云南,2022,16.6,0.7,997.5,-6.9,14.1,280,2220,2.0,71,6,5,1,油菜、野花,2,估算
云南,2023,16.7,0.8,1071.0,7.4,14.2,281,2180,2.0,72,6,5,1,油菜、野花,2,估算
江西,2000,17.9,0.0,1567.5,,14.4,270,1720,2.5,80,24,10,0,油菜、紫云英,3,气温确认+降水估算
江西,2001,18.2,0.3,1600.5,2.1,14.7,271,1710,2.5,80,25,10,1,油菜、紫云英,3,气温确认+降水估算
江西,2002,18.3,0.4,1633.5,2.1,14.8,271,1700,2.5,80,25,10,1,油菜、紫云英,3,气温确认+降水估算
江西,2003,18.5,0.6,1485.0,-9.1,15.0,272,1760,2.5,78,26,9,2,油菜、紫云英,3,气温确认+降水估算
江西,2004,18.8,0.9,1617.0,8.9,15.3,273,1710,2.5,80,27,10,2,油菜、紫云英,3,气温确认+降水估算
江西,2005,18.2,0.3,1650.0,2.0,14.7,271,1690,2.5,81,25,10,1,油菜、紫云英,3,气温确认+降水估算
江西,2006,18.6,0.7,1584.0,-4.0,15.1,272,1720,2.5,80,26,10,2,油菜、紫云英,3,气温确认+降水估算
江西,2007,19.2,1.3,1617.0,2.1,15.7,274,1710,2.5,80,29,10,3,油菜、紫云英,3,气温确认+降水估算
江西,2008,18.5,0.6,1683.0,4.1,15.0,272,1670,2.5,81,26,11,2,油菜、紫云英,3,气温确认+降水估算
江西,2009,18.8,0.9,1650.0,-2.0,15.3,273,1690,2.5,80,27,10,2,油菜、紫云英,3,气温确认+降水估算
江西,2010,18.5,0.6,1716.0,4.0,15.0,272,1660,2.5,81,26,11,2,油菜、紫云英,3,气温确认+降水估算
江西,2011,18.7,0.5,1666.5,-2.9,15.2,273,1680,2.5,80,27,11,1,油菜、紫云英,3,估算(基于国家气候公报)
江西,2012,18.4,0.2,1650.0,-1.0,14.9,272,1690,2.5,80,26,10,1,油菜、紫云英,3,估算(基于国家气候公报)
江西,2013,18.8,0.6,1485.0,-10.0,15.3,273,1760,2.5,78,27,9,2,油菜、紫云英,3,估算(基于国家气候公报)
江西,2014,18.7,0.5,1617.0,8.9,15.2,273,1710,2.5,80,27,10,1,油菜、紫云英,3,估算(基于国家气候公报)
江西,2015,19.1,0.9,1650.0,2.0,15.6,274,1690,2.5,80,29,10,2,油菜、紫云英,3,估算(基于国家气候公报)
江西,2016,19.0,0.8,1815.0,10.0,15.5,274,1640,2.5,82,28,12,2,油菜、紫云英,3,估算(基于国家气候公报)
江西,2017,19.0,0.8,1683.0,-7.3,15.5,274,1680,2.5,80,28,11,2,油菜、紫云英,3,估算(基于国家气候公报)
江西,2018,18.7,0.5,1650.0,-2.0,15.2,273,1690,2.5,80,27,10,1,油菜、紫云英,3,估算(基于国家气候公报)
江西,2019,19.0,0.8,1732.0,5.0,15.5,274,1670,2.5,81,28,11,2,油菜、紫云英,3,估算
江西,2020,18.9,0.7,1836.6,6.0,15.4,274,1630,2.5,82,28,12,2,油菜、紫云英,3,气温估算+降水确认
江西,2021,19.2,1.0,1683.0,-8.4,15.7,274,1680,2.5,80,30,11,2,油菜、紫云英,3,估算
江西,2022,18.8,0.6,1567.5,-6.9,15.3,273,1740,2.5,79,28,10,1,油菜、紫云英,3,估算
江西,2023,19.0,0.8,1683.0,7.4,15.5,274,1690,2.5,80,29,11,2,油菜、紫云英,3,估算
河南,2000,15.4,0.4,617.5,,11.4,222,2120,2.5,68,18,3,1,洋槐、枣花,5,气温确认+降水估算
河南,2001,15.0,0.0,630.5,2.1,11.0,220,2110,2.5,68,17,3,0,洋槐、枣花,5,气温确认+降水估算
河南,2002,15.1,0.1,643.5,2.1,11.1,221,2100,2.5,68,17,3,0,洋槐、枣花,5,气温确认+降水估算
河南,2003,15.4,0.4,585.0,-9.1,11.4,222,2140,2.5,66,18,3,1,洋槐、枣花,5,气温确认+降水估算
河南,2004,14.4,-0.6,637.0,8.9,10.4,218,2110,2.5,68,14,3,-2,洋槐、枣花,5,气温确认+降水估算
河南,2005,14.9,-0.1,650.0,2.0,10.9,220,2100,2.5,68,17,3,0,洋槐、枣花,5,气温确认+降水估算
河南,2006,15.8,0.8,624.0,-4.0,11.8,223,2130,2.5,67,20,3,2,洋槐、枣花,5,气温确认+降水估算
河南,2007,16.0,1.0,637.0,2.1,12.0,224,2120,2.5,68,21,3,2,洋槐、枣花,5,气温确认+降水估算
河南,2008,15.6,0.6,663.0,4.1,11.6,223,2080,2.5,69,19,4,1,洋槐、枣花,5,气温确认+降水估算
河南,2009,15.5,0.5,650.0,-2.0,11.5,222,2100,2.5,68,19,3,1,洋槐、枣花,5,气温确认+降水估算
河南,2010,15.6,0.6,676.0,4.0,11.6,223,2070,2.5,69,19,4,1,洋槐、枣花,5,气温确认+降水估算
河南,2011,15.5,0.5,656.5,-2.9,11.5,222,2100,2.5,68,19,3,1,洋槐、枣花,5,估算(基于国家气候公报)
河南,2012,15.2,0.2,650.0,-1.0,11.2,221,2100,2.5,68,18,3,0,洋槐、枣花,5,估算(基于国家气候公报)
河南,2013,15.6,0.6,585.0,-10.0,11.6,223,2150,2.5,66,19,3,1,洋槐、枣花,5,估算(基于国家气候公报)
河南,2014,15.5,0.5,637.0,8.9,11.5,222,2120,2.5,68,19,3,1,洋槐、枣花,5,估算(基于国家气候公报)
河南,2015,15.9,0.9,650.0,2.0,11.9,224,2100,2.5,68,21,3,2,洋槐、枣花,5,估算(基于国家气候公报)
河南,2016,15.8,0.8,715.0,10.0,11.8,223,2060,2.5,70,20,4,2,洋槐、枣花,5,估算(基于国家气候公报)
河南,2017,15.8,0.8,663.0,-7.3,11.8,223,2090,2.5,69,20,3,2,洋槐、枣花,5,估算(基于国家气候公报)
河南,2018,15.5,0.5,650.0,-2.0,11.5,222,2100,2.5,68,19,3,1,洋槐、枣花,5,估算(基于国家气候公报)
河南,2019,15.8,0.8,653.8,0.6,11.8,223,2100,2.5,68,20,3,2,洋槐、枣花,5,估算
河南,2020,15.7,0.7,1018.7,55.8,11.7,223,1950,2.5,74,19,7,2,洋槐、枣花,5,气温估算+降水确认
河南,2021,16.0,1.0,676.0,-33.6,12.0,224,2080,2.5,69,21,4,2,洋槐、枣花,5,估算
河南,2022,15.6,0.6,617.5,-8.7,11.6,223,2140,2.5,67,19,3,1,洋槐、枣花,5,估算
河南,2023,15.8,0.8,663.0,7.4,11.8,223,2100,2.5,68,20,4,2,洋槐、枣花,5,估算
安徽,2000,16.7,0.2,1045.0,,12.7,237,1930,2.8,75,18,6,1,油菜、洋槐,4,气温确认+降水估算
安徽,2001,16.8,0.3,1067.0,2.1,12.8,238,1920,2.8,75,18,6,1,油菜、洋槐,4,气温确认+降水估算
安徽,2002,17.2,0.7,1089.0,2.1,13.2,239,1910,2.8,75,19,7,2,油菜、洋槐,4,气温确认+降水估算
安徽,2003,16.3,-0.2,1045.0,-4.0,12.3,236,1930,2.8,75,16,6,0,油菜、洋槐,4,气温确认+降水估算
安徽,2004,16.6,0.1,1078.0,3.2,12.6,237,1920,2.8,75,17,6,0,油菜、洋槐,4,气温确认+降水估算
安徽,2005,16.2,-0.3,1111.0,3.1,12.2,235,1900,2.8,76,16,7,-1,油菜、洋槐,4,气温确认+降水估算
安徽,2006,17.0,0.5,1045.0,-5.9,13.0,238,1930,2.8,74,18,6,1,油菜、洋槐,4,气温确认+降水估算
安徽,2007,17.4,0.9,1078.0,3.2,13.4,240,1920,2.8,75,20,6,2,油菜、洋槐,4,气温确认+降水估算
安徽,2008,16.4,-0.1,1133.0,5.1,12.4,236,1890,2.8,76,17,7,0,油菜、洋槐,4,气温确认+降水估算
安徽,2009,16.7,0.2,1100.0,-2.9,12.7,237,1910,2.8,75,18,7,1,油菜、洋槐,4,气温确认+降水估算
安徽,2010,16.4,-0.1,1155.0,5.0,12.4,236,1880,2.8,77,17,7,0,油菜、洋槐,4,气温确认+降水估算
安徽,2011,17.0,0.5,1111.0,-3.8,13.0,238,1900,2.8,75,18,7,1,油菜、洋槐,4,估算(基于国家气候公报)
安徽,2012,16.7,0.2,1100.0,-1.0,12.7,237,1910,2.8,75,18,7,1,油菜、洋槐,4,估算(基于国家气候公报)
安徽,2013,17.1,0.6,1045.0,-5.0,13.1,239,1940,2.8,74,19,6,1,油菜、洋槐,4,估算(基于国家气候公报)
安徽,2014,17.0,0.5,1089.0,4.2,13.0,238,1920,2.8,75,18,7,1,油菜、洋槐,4,估算(基于国家气候公报)
安徽,2015,17.4,0.9,1100.0,1.0,13.4,240,1910,2.8,75,20,7,2,油菜、洋槐,4,估算(基于国家气候公报)
