province,province_lat,province_lng,honey_plant,plant_type,source_category,start_month,end_month,peak_month,flowering_months,nectar_yield_kg_per_colony,honey_grade,temp_range_c,notes
河南,34.7466,113.6254,棉花,草本(农作物),主要蜜源,7,7,7,7,50~100,三等,35~38,泌蜜量大但蜜质一般
河南,34.7466,113.6254,荞麦,草本(农作物),主要蜜源,9,9,9,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
河北,38.0455,114.502,刺槐,乔木,主要蜜源,5,5,5,5,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
河北,38.0455,114.502,荆条,灌木,主要蜜源,6,7,6,6,7,20~40,一等,25~28,华北主要蜜源花期长达30天+
河北,38.0455,114.502,枣花,乔木,主要蜜源,6,6,6,6,15~30,二等,26~32,枣花蜜干热天气泌蜜好
河北,38.0455,114.502,向日葵,草本(农作物),主要蜜源,8,8,8,8,30~50,三等,22~27,东北华北西北主要蜜源
河北,38.0455,114.502,荞麦,草本(农作物),主要蜜源,9,9,9,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
山西,37.8706,112.5489,刺槐,乔木,主要蜜源,4,5,4,4,5,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
山西,37.8706,112.5489,枣花,乔木,主要蜜源,5,5,5,5,15~30,二等,26~32,枣花蜜干热天气泌蜜好
山西,37.8706,112.5489,荆条,灌木,主要蜜源,6,7,6,6,7,20~40,一等,25~28,华北主要蜜源花期长达30天+
山西,37.8706,112.5489,向日葵,草本(农作物),主要蜜源,8,8,8,8,30~50,三等,22~27,东北华北西北主要蜜源
山西,37.8706,112.5489,荞麦,草本(农作物),主要蜜源,9,9,9,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
陕西,34.3416,108.9398,油菜,草本(农作物),主要蜜源,3,3,3,3,10~30,一等,18~25,分布最广的蜜源植物
陕西,34.3416,108.9398,刺槐,乔木,主要蜜源,4,4,4,4,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
陕西,34.3416,108.9398,枣花,乔木,主要蜜源,5,5,5,5,15~30,二等,26~32,枣花蜜干热天气泌蜜好
陕西,34.3416,108.9398,荆条,灌木,主要蜜源,6,6,6,6,20~40,一等,25~28,华北主要蜜源花期长达30天+
陕西,34.3416,108.9398,荞麦,草本(农作物),主要蜜源,8,8,8,8,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
甘肃,36.0613,103.834,刺槐,乔木,主要蜜源,5,5,5,5,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
甘肃,36.0613,103.834,紫花苜蓿,草本(农作物),辅助蜜源,7,7,7,7,5~10,三等,25~30,牧草兼蜜源
甘肃,36.0613,103.834,荞麦,草本(农作物),主要蜜源,8,9,8,8,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
内蒙古,40.8422,111.7498,老瓜头,草本,主要蜜源,6,7,6,6,7,50~60,二等,25~30,内蒙古宁夏干旱地区重要蜜源
内蒙古,40.8422,111.7498,向日葵,草本(农作物),主要蜜源,8,8,8,8,30~50,三等,22~27,东北华北西北主要蜜源
内蒙古,40.8422,111.7498,荞麦,草本(农作物),主要蜜源,8,9,8,8,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
新疆,43.7928,87.617,沙枣,乔木,辅助蜜源,5,5,5,5,10~15,二等,25~30,西北地区防风固沙植物
新疆,43.7928,87.617,刺槐,乔木,主要蜜源,5,5,5,5,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
新疆,43.7928,87.617,紫花苜蓿,草本(农作物),辅助蜜源,7,7,7,7,5~10,三等,25~30,牧草兼蜜源
新疆,43.7928,87.617,棉花,草本(农作物),主要蜜源,8,9,8,8,9,50~100,三等,35~38,泌蜜量大但蜜质一般
辽宁,41.8057,123.4315,刺槐,乔木,主要蜜源,4,5,4,4,5,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
辽宁,41.8057,123.4315,荆条,灌木,主要蜜源,6,7,6,6,7,20~40,一等,25~28,华北主要蜜源花期长达30天+
辽宁,41.8057,123.4315,椴树,乔木,主要蜜源,7,7,7,7,20~30,一等,22~25,东北著名蜜源含紫椴糠椴
辽宁,41.8057,123.4315,向日葵,草本(农作物),主要蜜源,8,8,8,8,30~50,三等,22~27,东北华北西北主要蜜源
辽宁,41.8057,123.4315,荞麦,草本(农作物),主要蜜源,9,9,9,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
吉林,43.8961,125.3265,椴树,乔木,主要蜜源,7,7,7,7,20~30,一等,22~25,东北著名蜜源含紫椴糠椴
吉林,43.8961,125.3265,胡枝子,灌木,辅助蜜源,8,8,8,8,10~15,三等,25~30,东北林区秋季辅助蜜源
吉林,43.8961,125.3265,向日葵,草本(农作物),主要蜜源,8,8,8,8,30~50,三等,22~27,东北华北西北主要蜜源
黑龙江,45.8038,126.535,油菜,草本(农作物),主要蜜源,5,5,5,5,10~30,一等,18~25,春油菜为主
黑龙江,45.8038,126.535,椴树,乔木,主要蜜源,6,7,7,6,7,20~30,一等,22~25,东北著名蜜源含紫椴糠椴
黑龙江,45.8038,126.535,向日葵,草本(农作物),主要蜜源,8,8,8,8,30~50,三等,22~27,东北华北西北主要蜜源
贵州,26.6477,106.6302,油菜,草本(农作物),主要蜜源,2,3,2,2,3,10~30,一等,18~25,分布最广的蜜源植物
贵州,26.6477,106.6302,刺槐,乔木,主要蜜源,4,4,4,4,20~40,一等,27,洋槐蜜花期仅7-10天水白透明
贵州,26.6477,106.6302,柑橘,乔木,主要蜜源,4,4,4,4,10~20,二等,22,包括柑桔橙柚等
贵州,26.6477,106.6302,荆条,灌木,主要蜜源,5,6,5,5,6,20~40,一等,25~28,华北主要蜜源花期长达30天+
贵州,26.6477,106.6302,荞麦,草本(农作物),主要蜜源,9,9,9,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
宁夏,38.472,106.2589,老瓜头,草本,主要蜜源,6,7,6,6,7,50~60,二等,25~30,内蒙古宁夏干旱地区重要蜜源
宁夏,38.472,106.2589,荞麦,草本(农作物),主要蜜源,8,9,8,8,9,30~40,三等,25~28,蜜色深褐味重多作越冬饲料
