region,province,year,bee_colonies,bee_type,source_note,source
全国,全国,2025,9600000,总计,中国蜂产品协会行业估算,industry_estimate
华东,浙江,2023,1546000,总计,浙江省畜牧总站,provincial_stat
华东,浙江,2023,660000,中蜂,浙江省畜牧总站(中蜂66万群+意蜂88.6万群),provincial_stat
华东,浙江,2023,886000,西蜂(意蜂),浙江省畜牧总站,provincial_stat
华东,浙江,2024,1100000,总计,协会评估(从约154万群降至约110万群,受城镇化影响),provincial_estimate
华东,浙江,2018,1100000,总计,浙江省蜂产业分析报告,provincial_stat
华东,山东,2025,580000,总计,山东省畜牧兽医局(西蜂49万+中蜂6万+熊蜂2.5万),provincial_stat
华东,山东,2025,490000,西蜂,山东省畜牧兽医局,provincial_stat
华东,山东,2025,60000,中蜂,山东省畜牧兽医局,provincial_stat
华东,山东,2025,25000,熊蜂,山东省畜牧兽医局,provincial_stat
华东,福建,2023,380000,总计,中国蜂产品协会产情报告估算,provincial_estimate
西南,四川,2021,1650000,总计,四川省人民政府(中蜂94万+西蜂71万),provincial_stat
西南,四川,2021,940000,中蜂,四川省人民政府,provincial_stat
西南,四川,2021,710000,西蜂,四川省人民政府,provincial_stat
西南,四川,2023,1700000,总计,中国蜂产品协会产情估算,provincial_estimate
西南,云南,2023,900000,总计,中国蜂产品协会产情报告估算,provincial_estimate
西南,贵州,2023,400000,总计,中国蜂产品协会产情报告估算,provincial_estimate
西南,重庆,2023,220000,总计,中国蜂产品协会产情报告估算,provincial_estimate
华中,河南,2023,1300000,总计,大河网报道(全省蜜蜂养殖量),provincial_stat
华中,河南,2020,1150000,总计,中国蜂产品协会产情报告估算,provincial_estimate
华中,湖北,2023,600000,总计,中国蜂产品协会产情估算,provincial_estimate
华中,湖南,2023,550000,总计,中国蜂产品协会产情估算,provincial_estimate
华中,江西,2023,500000,总计,中国蜂产品协会产情估算,provincial_estimate
华中,安徽,2023,450000,总计,中国蜂产品协会产情估算,provincial_estimate
华南,广东,2023,580000,总计,中国蜂产品协会产情估算,provincial_estimate
华南,广西,2023,550000,总计,中国蜂产品协会产情估算(蒙山县18.8万群为广西第一),provincial_estimate
西北,新疆,2020,938000,总计,中国蜂产品协会赴新疆调研报道,provincial_stat
西北,陕西,2023,350000,总计,中国蜂产品协会产情估算,provincial_estimate
西北,甘肃,2023,400000,总计,中国蜂产品协会产情估算,provincial_estimate
东北,辽宁,2023,250000,总计,中国蜂产品协会产情估算,provincial_estimate
东北,吉林,2023,200000,总计,中国蜂产品协会产情估算,provincial_estimate
东北,黑龙江,2023,280000,总计,中国蜂产品协会产情估算,provincial_estimate
华北,河北,2023,300000,总计,中国蜂产品协会产情估算,provincial_estimate
华北,山西,2023,150000,总计,中国蜂产品协会产情估算,provincial_estimate
华北,内蒙古,2023,180000,总计,中国蜂产品协会产情估算,provincial_estimate
