fruit_cn,year,fruit_en,fruit_sci,pollination_type,bee_dependency,self_fertile,main_provinces,bloom_south,bloom_mid,bloom_north,optimal_temp_c,recommended_colonies_per_ha,yield_increase_pct,flower_type,main_pollinators,flowering_duration_days,area_1000ha,area_yoy_pct,output_10000tonnes,output_yoy_pct,trend,bloom_months,bloom_provinces_count,orchard_provinces,province_demand_summary,bee_friendly_by_province
柑橘,2024,Citrus,Citrus reticulata,自花授粉/单性结实,中低,是（多数品种单性结实或自花授粉）,广西、湖南、四川、广东、湖北、江西,2月-3月,3月-4月,4月-5月,20-24,3-8,5-15,两性花,蜜蜂科(蜜蜂属),15-25,3080,0.98,6791.49,13.14,稳定增长,"2,3,4",9,"四川, 广东, 广西, 湖北, 湖南, 福建, 贵州","中高(5省), 高(2省)",四川:3月-5月; 广西:2月-5月; 广东:2月-4月; 福建:2月-5月; 湖南:3月-5月; 湖北:3月-5月; 贵州:3月-5月
柿子,2022,Persimmon,Diospyros kaki,虫媒+单性结实,中,部分品种单性结实，有籽品种需授粉,广西、河北、河南、陕西、山东,4月-5月,5月上旬-5月下旬,5月中旬-6月上旬,20-26,3-8,10-20,雌雄异株(部分品种雌雄同株),蜜蜂科(蜜蜂属)、风媒,10-15,1006,,,稳定增长,国家统计局,"4,5",1,"广西, 河北, 陕西","高(2省), 极高(1省)",陕西:4月上旬-5月; 河北:3月下旬-5月; 广西:2月-5月
柿子,2023,Persimmon,Diospyros kaki,虫媒+单性结实,中,部分品种单性结实，有籽品种需授粉,广西、河北、河南、陕西、山东,4月-5月,5月上旬-5月下旬,5月中旬-6月上旬,20-26,3-8,10-20,雌雄异株(部分品种雌雄同株),蜜蜂科(蜜蜂属)、风媒,10-15,1010,0.40,405.00,,稳定增长,"4,5",1,"广西, 河北, 陕西","高(2省), 极高(1省)",陕西:4月上旬-5月; 河北:3月下旬-5月; 广西:2月-5月
柿子,2024,Persimmon,Diospyros kaki,虫媒+单性结实,中,部分品种单性结实，有籽品种需授粉,广西、河北、河南、陕西、山东,4月-5月,5月上旬-5月下旬,5月中旬-6月上旬,20-26,3-8,10-20,雌雄异株(部分品种雌雄同株),蜜蜂科(蜜蜂属)、风媒,10-15,1010,0.00,410.00,1.23,稳定增长,"4,5",1,"广西, 河北, 陕西","高(2省), 极高(1省)",陕西:4月上旬-5月; 河北:3月下旬-5月; 广西:2月-5月
桃,2022,Peach,Prunus persica,自花授粉为主,中低,是（多数品种自交结实）,山东、河南、河北、湖北、四川,2月中旬-3月中旬,3月中旬-4月上旬,4月上旬-4月下旬,18-25,5-10,10-25,两性花,蜜蜂科(蜜蜂属)、壁蜂属,10-15,840,,,稳定,国家统计局,"2,3,4,5",14,"云南, 四川, 安徽, 山东, 山西, 河北, 河南, 湖北, 湖南","高(4省), 中高(3省), 极高(1省), 中(1省)",山东:3月中旬-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 四川:3月-5月; 湖南:3月-5月; 湖北:3月-5月; 云南:2月-5月; 安徽:3月-5月
桃,2023,Peach,Prunus persica,自花授粉为主,中低,是（多数品种自交结实）,山东、河南、河北、湖北、四川,2月中旬-3月中旬,3月中旬-4月上旬,4月上旬-4月下旬,18-25,5-10,10-25,两性花,蜜蜂科(蜜蜂属)、壁蜂属,10-15,838,-0.24,1750.00,,稳定,"2,3,4,5",14,"云南, 四川, 安徽, 山东, 山西, 河北, 河南, 湖北, 湖南","高(4省), 中高(3省), 极高(1省), 中(1省)",山东:3月中旬-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 四川:3月-5月; 湖南:3月-5月; 湖北:3月-5月; 云南:2月-5月; 安徽:3月-5月
桃,2024,Peach,Prunus persica,自花授粉为主,中低,是（多数品种自交结实）,山东、河南、河北、湖北、四川,2月中旬-3月中旬,3月中旬-4月上旬,4月上旬-4月下旬,18-25,5-10,10-25,两性花,蜜蜂科(蜜蜂属)、壁蜂属,10-15,838,0.00,1780.00,1.71,稳定,"2,3,4,5",14,"云南, 四川, 安徽, 山东, 山西, 河北, 河南, 湖北, 湖南","高(4省), 中高(3省), 极高(1省), 中(1省)",山东:3月中旬-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 四川:3月-5月; 湖南:3月-5月; 湖北:3月-5月; 云南:2月-5月; 安徽:3月-5月
梨,2022,Pear,Pyrus spp.,异花授粉,高,否（大部分品种自交不实）,河北、辽宁、新疆、四川、河南、山西,2月下旬-3月下旬,3月下旬-4月中旬,4月中旬-5月上旬,16-25,7-12,25-60,两性花,蜜蜂科(蜜蜂属)、壁蜂属、熊蜂属,10-20,910,,,面积略降,国家统计局,"3,4,5,6",16,"云南, 四川, 安徽, 山东, 山西, 广西, 新疆, 江西, 河北, 河南, 湖北, 湖南, 甘肃, 辽宁, 陕西","高(6省), 中高(4省), 中(3省), 极高(2省)",山东:3月中旬-5月; 陕西:4月上旬-5月; 甘肃:4月-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 辽宁:4月中旬-5月; 新疆:4月下旬-6月; 四川:3月-5月; 广西:2月-5月; 湖南:3月-5月; 湖北:3月-5月; 江西:3月-4月; 云南:2月-5月; 安徽:3月-5月
梨,2023,Pear,Pyrus spp.,异花授粉,高,否（大部分品种自交不实）,河北、辽宁、新疆、四川、河南、山西,2月下旬-3月下旬,3月下旬-4月中旬,4月中旬-5月上旬,16-25,7-12,25-60,两性花,蜜蜂科(蜜蜂属)、壁蜂属、熊蜂属,10-20,905,-0.55,2099.00,,面积略降,"3,4,5,6",16,"云南, 四川, 安徽, 山东, 山西, 广西, 新疆, 江西, 河北, 河南, 湖北, 湖南, 甘肃, 辽宁, 陕西","高(6省), 中高(4省), 中(3省), 极高(2省)",山东:3月中旬-5月; 陕西:4月上旬-5月; 甘肃:4月-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 辽宁:4月中旬-5月; 新疆:4月下旬-6月; 四川:3月-5月; 广西:2月-5月; 湖南:3月-5月; 湖北:3月-5月; 江西:3月-4月; 云南:2月-5月; 安徽:3月-5月
梨,2024,Pear,Pyrus spp.,异花授粉,高,否（大部分品种自交不实）,河北、辽宁、新疆、四川、河南、山西,2月下旬-3月下旬,3月下旬-4月中旬,4月中旬-5月上旬,16-25,7-12,25-60,两性花,蜜蜂科(蜜蜂属)、壁蜂属、熊蜂属,10-20,895,-1.10,2098.79,-0.01,面积略降,"3,4,5,6",16,"云南, 四川, 安徽, 山东, 山西, 广西, 新疆, 江西, 河北, 河南, 湖北, 湖南, 甘肃, 辽宁, 陕西","高(6省), 中高(4省), 中(3省), 极高(2省)",山东:3月中旬-5月; 陕西:4月上旬-5月; 甘肃:4月-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 辽宁:4月中旬-5月; 新疆:4月下旬-6月; 四川:3月-5月; 广西:2月-5月; 湖南:3月-5月; 湖北:3月-5月; 江西:3月-4月; 云南:2月-5月; 安徽:3月-5月
猕猴桃,2022,Kiwifruit,Actinidia chinensis,雌雄异株（昆虫授粉）,极高,否（雌雄异株，依赖昆虫传粉）,陕西、四川、贵州、河南、湖南,3月下旬-4月中旬,4月中旬-5月上旬,5月上旬-5月下旬,20-28,8-15,30-60,雌雄异株,蜜蜂科(蜜蜂属)、熊蜂属、切叶蜂科、木蜂属,10-20,280,,,快速增长,国家统计局,"4,5,6",6,"四川, 河南, 湖北, 湖南, 贵州, 陕西","中高(3省), 高(2省), 极高(1省)",陕西:4月上旬-5月; 河南:3月下旬-5月; 四川:3月-5月; 湖南:3月-5月; 湖北:3月-5月; 贵州:3月-5月
猕猴桃,2023,Kiwifruit,Actinidia chinensis,雌雄异株（昆虫授粉）,极高,否（雌雄异株，依赖昆虫传粉）,陕西、四川、贵州、河南、湖南,3月下旬-4月中旬,4月中旬-5月上旬,5月上旬-5月下旬,20-28,8-15,30-60,雌雄异株,蜜蜂科(蜜蜂属)、熊蜂属、切叶蜂科、木蜂属,10-20,292,4.29,383.00,,快速增长,"4,5,6",6,"四川, 河南, 湖北, 湖南, 贵州, 陕西","中高(3省), 高(2省), 极高(1省)",陕西:4月上旬-5月; 河南:3月下旬-5月; 四川:3月-5月; 湖南:3月-5月; 湖北:3月-5月; 贵州:3月-5月
猕猴桃,2024,Kiwifruit,Actinidia chinensis,雌雄异株（昆虫授粉）,极高,否（雌雄异株，依赖昆虫传粉）,陕西、四川、贵州、河南、湖南,3月下旬-4月中旬,4月中旬-5月上旬,5月上旬-5月下旬,20-28,8-15,30-60,雌雄异株,蜜蜂科(蜜蜂属)、熊蜂属、切叶蜂科、木蜂属,10-20,305,4.45,400.00,4.44,快速增长,"4,5,6",6,"四川, 河南, 湖北, 湖南, 贵州, 陕西","中高(3省), 高(2省), 极高(1省)",陕西:4月上旬-5月; 河南:3月下旬-5月; 四川:3月-5月; 湖南:3月-5月; 湖北:3月-5月; 贵州:3月-5月
甜樱桃,2022,Sweet Cherry,Prunus avium,异花授粉,极高,否（绝大部分品种自交不亲和）,山东（烟台）、辽宁（大连）、陕西、甘肃、新疆、云南,2月下旬-3月中旬,3月中旬-4月上旬,4月上旬-4月下旬,15-22,10-20,30-80,两性花,蜜蜂科(蜜蜂属)、熊蜂属、壁蜂属,7-14,180,,,快速增长,国家统计局,"2,3,4",6,"山东, 甘肃, 辽宁","极高(1省), 高(1省), 中高(1省)",山东:3月中旬-5月; 甘肃:4月-5月; 辽宁:4月中旬-5月
甜樱桃,2023,Sweet Cherry,Prunus avium,异花授粉,极高,否（绝大部分品种自交不亲和）,山东（烟台）、辽宁（大连）、陕西、甘肃、新疆、云南,2月下旬-3月中旬,3月中旬-4月上旬,4月上旬-4月下旬,15-22,10-20,30-80,两性花,蜜蜂科(蜜蜂属)、熊蜂属、壁蜂属,7-14,185,2.78,76.00,,快速增长,"2,3,4",6,"山东, 甘肃, 辽宁","极高(1省), 高(1省), 中高(1省)",山东:3月中旬-5月; 甘肃:4月-5月; 辽宁:4月中旬-5月
甜樱桃,2024,Sweet Cherry,Prunus avium,异花授粉,极高,否（绝大部分品种自交不亲和）,山东（烟台）、辽宁（大连）、陕西、甘肃、新疆、云南,2月下旬-3月中旬,3月中旬-4月上旬,4月上旬-4月下旬,15-22,10-20,30-80,两性花,蜜蜂科(蜜蜂属)、熊蜂属、壁蜂属,7-14,190,2.70,80.00,5.26,快速增长,"2,3,4",6,"山东, 甘肃, 辽宁","极高(1省), 高(1省), 中高(1省)",山东:3月中旬-5月; 甘肃:4月-5月; 辽宁:4月中旬-5月
芒果,2023,Mango,Mangifera indica,昆虫授粉（蝇类/蜜蜂）,中高,多数品种可自花授粉但虫媒提高坐果率,海南、广东、广西、云南、四川,12月-2月,1月-3月,2月-4月,24-30,5-10,20-40,两性花+雄花(圆锥花序),蝇类、蜜蜂科(蜜蜂属)、蓟马,20-30,395.5,,489.90,,快速增长,"1,2,3,4,5,6",6
苹果,2022,Apple,Malus domestica,异花授粉,高,否（大部分品种自交不亲和）,陕西、甘肃、山东、山西、辽宁、河北、河南、新疆,3月中旬-4月上旬,4月上旬-4月下旬,4月下旬-5月上旬,15-22,7-15,20-50,两性花,蜜蜂科(蜜蜂属)、壁蜂属、熊蜂属,7-15,1929,,,面积略降产量上升,国家统计局,"3,4,5,6",9,"云南, 四川, 山东, 山西, 新疆, 河北, 河南, 甘肃, 辽宁, 陕西","高(5省), 极高(2省), 中高(2省), 中(1省)",山东:3月中旬-5月; 陕西:4月上旬-5月; 甘肃:4月-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 辽宁:4月中旬-5月; 新疆:4月下旬-6月; 四川:3月-5月; 云南:2月-5月
苹果,2023,Apple,Malus domestica,异花授粉,高,否（大部分品种自交不亲和）,陕西、甘肃、山东、山西、辽宁、河北、河南、新疆,3月中旬-4月上旬,4月上旬-4月下旬,4月下旬-5月上旬,15-22,7-15,20-50,两性花,蜜蜂科(蜜蜂属)、壁蜂属、熊蜂属,7-15,1893,-1.87,4960.00,,面积略降产量上升,"3,4,5,6",9,"云南, 四川, 山东, 山西, 新疆, 河北, 河南, 甘肃, 辽宁, 陕西","高(5省), 极高(2省), 中高(2省), 中(1省)",山东:3月中旬-5月; 陕西:4月上旬-5月; 甘肃:4月-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 辽宁:4月中旬-5月; 新疆:4月下旬-6月; 四川:3月-5月; 云南:2月-5月
苹果,2024,Apple,Malus domestica,异花授粉,高,否（大部分品种自交不亲和）,陕西、甘肃、山东、山西、辽宁、河北、河南、新疆,3月中旬-4月上旬,4月上旬-4月下旬,4月下旬-5月上旬,15-22,7-15,20-50,两性花,蜜蜂科(蜜蜂属)、壁蜂属、熊蜂属,7-15,1870,-1.21,5128.51,3.40,面积略降产量上升,"3,4,5,6",9,"云南, 四川, 山东, 山西, 新疆, 河北, 河南, 甘肃, 辽宁, 陕西","高(5省), 极高(2省), 中高(2省), 中(1省)",山东:3月中旬-5月; 陕西:4月上旬-5月; 甘肃:4月-5月; 河北:3月下旬-5月; 山西:4月-5月; 河南:3月下旬-5月; 辽宁:4月中旬-5月; 新疆:4月下旬-6月; 四川:3月-5月; 云南:2月-5月
草莓,2021,Strawberry,Fragaria × ananassa,虫媒授粉,高,多数品种自花可育但虫媒显著提高产量,江苏、山东、安徽、辽宁、河北、云南,11月-3月,2月-4月,3月-5月,15-22,8-15,20-50,两性花,蜜蜂科(蜜蜂属)、熊蜂属（熊蜂更适合大棚环境）,20-40(花期延续),139.3,,371.51,,快速增长,"1,2,3,4,5,6,7,8,11,12",21
草莓,2022,Strawberry,Fragaria × ananassa,虫媒授粉,高,多数品种自花可育但虫媒显著提高产量,江苏、山东、安徽、辽宁、河北、云南,11月-3月,2月-4月,3月-5月,15-22,8-15,20-50,两性花,蜜蜂科(蜜蜂属)、熊蜂属（熊蜂更适合大棚环境）,20-40(花期延续),147.5,5.86,398.16,7.17,快速增长,"1,2,3,4,5,6,7,8,11,12",21
草莓,2023,Strawberry,Fragaria × ananassa,虫媒授粉,高,多数品种自花可育但虫媒显著提高产量,江苏、山东、安徽、辽宁、河北、云南,11月-3月,2月-4月,3月-5月,15-22,8-15,20-50,两性花,蜜蜂科(蜜蜂属)、熊蜂属（熊蜂更适合大棚环境）,20-40(花期延续),156.3,5.97,400.00,0.46,快速增长,"1,2,3,4,5,6,7,8,11,12",21
荔枝,2022,Lychee,Litchi chinensis,昆虫授粉,高,雌雄同穗异熟，依赖昆虫传粉,广东、广西、海南、福建,1月下旬-3月,2月-4月,,20-28,5-10,20-40,雌雄同穗异熟,蜜蜂科(蜜蜂属)、蝇类,20-35,533,,,稳定,国家统计局,"1,2,3,4",4,"广东, 广西, 福建","中高(2省), 高(1省)",广西:2月-5月; 广东:2月-4月; 福建:2月-5月
荔枝,2023,Lychee,Litchi chinensis,昆虫授粉,高,雌雄同穗异熟，依赖昆虫传粉,广东、广西、海南、福建,1月下旬-3月,2月-4月,,20-28,5-10,20-40,雌雄同穗异熟,蜜蜂科(蜜蜂属)、蝇类,20-35,535,0.38,300.00,,稳定,"1,2,3,4",4,"广东, 广西, 福建","中高(2省), 高(1省)",广西:2月-5月; 广东:2月-4月; 福建:2月-5月
荔枝,2024,Lychee,Litchi chinensis,昆虫授粉,高,雌雄同穗异熟，依赖昆虫传粉,广东、广西、海南、福建,1月下旬-3月,2月-4月,,20-28,5-10,20-40,雌雄同穗异熟,蜜蜂科(蜜蜂属)、蝇类,20-35,535,0.00,310.00,3.33,稳定,"1,2,3,4",4,"广东, 广西, 福建","中高(2省), 高(1省)",广西:2月-5月; 广东:2月-4月; 福建:2月-5月
菠萝,2023,Pineapple,Ananas comosus,单性结实（自花授粉）,低,是（多数品种单性结实）,广东、海南、云南、广西,2月-4月,3月-5月,4月-6月,25-32,0-3,0-5,两性花(聚花果),蜂鸟、蜜蜂科（商业栽培单性结实不需授粉）,10-20,66.7,,209.40,,稳定,"2,3,4,5,7,8",5
葡萄,2022,Grape,Vitis vinifera,风媒/自花授粉,低,是（多数品种两性花风媒自交）,新疆、河北、山东、云南、河南,4月-5月,5月-6月,5月下旬-6月,25-30,3-5,5-10,两性花,风媒为主、蜜蜂科(蜜蜂属)辅助,7-14,763,,,面积略降,国家统计局,"5,6",1,"云南, 安徽, 山东, 新疆, 河北, 河南, 辽宁","高(3省), 中(2省), 极高(1省), 中高(1省)",山东:3月中旬-5月; 河北:3月下旬-5月; 河南:3月下旬-5月; 辽宁:4月中旬-5月; 新疆:4月下旬-6月; 云南:2月-5月; 安徽:3月-5月
葡萄,2023,Grape,Vitis vinifera,风媒/自花授粉,低,是（多数品种两性花风媒自交）,新疆、河北、山东、云南、河南,4月-5月,5月-6月,5月下旬-6月,25-30,3-5,5-10,两性花,风媒为主、蜜蜂科(蜜蜂属)辅助,7-14,755,-1.05,1505.00,,面积略降,"5,6",1,"云南, 安徽, 山东, 新疆, 河北, 河南, 辽宁","高(3省), 中(2省), 极高(1省), 中高(1省)",山东:3月中旬-5月; 河北:3月下旬-5月; 河南:3月下旬-5月; 辽宁:4月中旬-5月; 新疆:4月下旬-6月; 云南:2月-5月; 安徽:3月-5月
葡萄,2024,Grape,Vitis vinifera,风媒/自花授粉,低,是（多数品种两性花风媒自交）,新疆、河北、山东、云南、河南,4月-5月,5月-6月,5月下旬-6月,25-30,3-5,5-10,两性花,风媒为主、蜜蜂科(蜜蜂属)辅助,7-14,748,-0.93,1520.00,1.00,面积略降,"5,6",1,"云南, 安徽, 山东, 新疆, 河北, 河南, 辽宁","高(3省), 中(2省), 极高(1省), 中高(1省)",山东:3月中旬-5月; 河北:3月下旬-5月; 河南:3月下旬-5月; 辽宁:4月中旬-5月; 新疆:4月下旬-6月; 云南:2月-5月; 安徽:3月-5月
蓝莓,2022,Blueberry,Vaccinium spp.,昆虫授粉,极高,多数品种自交不亲和，依赖蜜蜂传粉,贵州、山东、辽宁、云南、安徽,2月-3月,3月-4月,4月-5月,18-25,10-20,40-80,两性花,蜜蜂科(蜜蜂属)、熊蜂属、木蜂属、壁蜂属,15-25,66,,,快速增长,国家统计局,"2,3,4,5",3,"云南, 安徽, 贵州","高(1省), 中高(1省), 中(1省)",云南:2月-5月; 贵州:3月-5月; 安徽:3月-5月
蓝莓,2023,Blueberry,Vaccinium spp.,昆虫授粉,极高,多数品种自交不亲和，依赖蜜蜂传粉,贵州、山东、辽宁、云南、安徽,2月-3月,3月-4月,4月-5月,18-25,10-20,40-80,两性花,蜜蜂科(蜜蜂属)、熊蜂属、木蜂属、壁蜂属,15-25,78,18.18,55.00,,快速增长,"2,3,4,5",3,"云南, 安徽, 贵州","高(1省), 中高(1省), 中(1省)",云南:2月-5月; 贵州:3月-5月; 安徽:3月-5月
蓝莓,2024,Blueberry,Vaccinium spp.,昆虫授粉,极高,多数品种自交不亲和，依赖蜜蜂传粉,贵州、山东、辽宁、云南、安徽,2月-3月,3月-4月,4月-5月,18-25,10-20,40-80,两性花,蜜蜂科(蜜蜂属)、熊蜂属、木蜂属、壁蜂属,15-25,90,15.38,65.00,18.18,快速增长,"2,3,4,5",3,"云南, 安徽, 贵州","高(1省), 中高(1省), 中(1省)",云南:2月-5月; 贵州:3月-5月; 安徽:3月-5月
香蕉,2021,Banana,Musa spp.,单性结实（不需授粉）,极低,是（商业品种单性结实）,广东、海南、云南、广西、福建,,全年开花,,25-30,0-2,0-5,雌雄同株,蝙蝠、鸟类（商业栽培单性结实不需授粉）,全年开花,360.1,,,面积略降产量稳定,国家统计局,"2,3,4,5,6,7,8,9",5,广东,中高(1省),广东:2月-4月
香蕉,2022,Banana,Musa spp.,单性结实（不需授粉）,极低,是（商业品种单性结实）,广东、海南、云南、广西、福建,,全年开花,,25-30,0-2,0-5,雌雄同株,蝙蝠、鸟类（商业栽培单性结实不需授粉）,全年开花,336.7,-6.50,1177.68,,面积略降产量稳定,"2,3,4,5,6,7,8,9",5,广东,中高(1省),广东:2月-4月
香蕉,2023,Banana,Musa spp.,单性结实（不需授粉）,极低,是（商业品种单性结实）,广东、海南、云南、广西、福建,,全年开花,,25-30,0-2,0-5,雌雄同株,蝙蝠、鸟类（商业栽培单性结实不需授粉）,全年开花,333.3,-1.01,1180.00,0.20,面积略降产量稳定,"2,3,4,5,6,7,8,9",5,广东,中高(1省),广东:2月-4月
龙眼,2022,Longan,Dimocarpus longan,昆虫授粉,高,雌雄同穗异熟，依赖昆虫传粉,广东、广西、福建、海南,3月中旬-4月,4月-5月,,24-28,5-10,20-35,雌雄同穗异熟,蜜蜂科(蜜蜂属),25-40,400,,,稳定,国家统计局,"3,4",4,"广东, 广西, 福建","中高(2省), 高(1省)",广西:2月-5月; 广东:2月-4月; 福建:2月-5月
龙眼,2023,Longan,Dimocarpus longan,昆虫授粉,高,雌雄同穗异熟，依赖昆虫传粉,广东、广西、福建、海南,3月中旬-4月,4月-5月,,24-28,5-10,20-35,雌雄同穗异熟,蜜蜂科(蜜蜂属),25-40,400,0.00,200.00,,稳定,"3,4",4,"广东, 广西, 福建","中高(2省), 高(1省)",广西:2月-5月; 广东:2月-4月; 福建:2月-5月
龙眼,2024,Longan,Dimocarpus longan,昆虫授粉,高,雌雄同穗异熟，依赖昆虫传粉,广东、广西、福建、海南,3月中旬-4月,4月-5月,,24-28,5-10,20-35,雌雄同穗异熟,蜜蜂科(蜜蜂属),25-40,400,0.00,205.00,2.50,稳定,"3,4",4,"广东, 广西, 福建","中高(2省), 高(1省)",广西:2月-5月; 广东:2月-4月; 福建:2月-5月
