年份,蜂蜜产量_吨,蜂群数量_群,单产_千克每群,出口量_吨,出口额_万美元,收购价_元每吨,收购价_元每斤,零售价_油菜蜜_元每斤,零售价_洋槐蜜_元每斤,零售价_野花蜜_元每斤,零售价_高档蜜_元每斤,零售均价_元每斤,零售收购比,年末总人口_亿人,国内消费量_吨,出口占比_百分比,人均消费量_克
2012,462203,8987204,51.4,178200,19500,13500,6.8,22,30,18,55,25,3.7,13.54,284003,38.6,209.8
2013,436600,9020000,48.4,182500,20500,14000,7,23,32,18,58,26,3.7,13.61,254100,41.8,186.7
2014,474786,9075000,52.3,186800,21800,14500,7.3,24,33,19,60,27,3.7,13.68,287986,39.3,210.5
2015,473200,9129857,51.8,179600,21500,15000,7.5,25,35,20,65,28,3.7,13.75,293600,38.0,213.5
2016,562875,9184254,61.3,173200,21000,14500,7.3,26,36,20,68,30,4.1,13.83,389675,30.8,281.8
2017,542543.6,9238330,58.7,168900,20500,13000,6.5,26,35,20,65,30,4.6,13.90,373644,31.1,268.8
2018,457181.6,9291246,49.2,172800,21200,13500,6.8,27,36,22,68,32,4.7,13.95,284382,37.8,203.9
2019,446960.8,9348707,47.8,165400,19800,14000,7,28,38,22,70,33,4.7,14,281561,37.0,201.1
2020,466486.7,9360311,49.8,152300,18500,12000,6,28,38,23,72,34,5.7,14.12,314187,32.6,222.5
2021,472700,9391575,50.3,158700,19800,12500,6.3,29,40,24,75,35,5.6,14.13,314000,33.6,222.2
2022,474106.9,9416856,50.3,162500,21500,14000,7,32,42,26,80,38,5.4,14.12,311607,34.3,220.7
2023,463500,9490000,48.8,164200,23800,13000,6.5,33,45,28,85,40,6.2,14.10,299300,35.4,212.3
2024,444800,9550000,46.6,169600,26486,12000,6,34,45,28,88,40,6.7,14.08,275200,38.1,195.5
2025,500000,9600000,52.1,175500,26000,11000,5.5,35,48,30,90,42,7.6,14.06,324500,35.1,230.8
