year,province,county,rapeseed_area_1000ha,rapeseed_production_10000tonnes,yield_kg_per_ha,type,source
2021,安徽,,,85.30,,冬油菜,nbs_province
2022,安徽,,,91.06,,冬油菜,nbs_province
2023,安徽,,,96.40,,冬油菜,nbs_province
2020,江苏,,,50.45,,冬油菜,nbs_province
2021,江苏,,,51.21,,冬油菜,nbs_province
2022,江苏,,,56.38,,冬油菜,nbs_province
2023,江苏,,,55.66,,冬油菜,nbs_province
2020,云南,,,54.10,,冬油菜,nbs_province
2021,云南,,,54.23,,冬油菜,nbs_province
2022,云南,,243.0,54.49,,冬油菜,nbs_province
2023,云南,,,53.88,,冬油菜,nbs_province
2020,河南,,,44.25,,冬油菜,nbs_province
2021,河南,,,45.95,,冬油菜,nbs_province
2022,河南,,,49.44,,冬油菜,nbs_province
2023,河南,,,49.01,,冬油菜,nbs_province
2020,陕西,,,37.26,,冬油菜(南部),nbs_province
2021,陕西,,,37.51,,冬油菜(南部),nbs_province
2022,陕西,,166.0,38.97,,冬油菜(南部),nbs_province
2023,陕西,,,35.92,,冬油菜(南部),nbs_province
2020,内蒙古,,,38.98,,春油菜,nbs_province
2021,内蒙古,,,28.33,,春油菜,nbs_province
2022,内蒙古,,224.0,32.24,,春油菜,nbs_province
2023,内蒙古,,,36.97,,春油菜,nbs_province
2020,甘肃,,,35.61,,春油菜,nbs_province
2021,甘肃,,,33.93,,春油菜,nbs_province
2022,甘肃,,144.0,33.73,,春油菜,nbs_province
2023,甘肃,,,36.53,,春油菜,nbs_province
2020,青海,,,28.66,,春油菜,nbs_province
2021,青海,,,30.06,,春油菜,nbs_province
2022,青海,,142.0,31.73,,春油菜,nbs_province
2023,青海,,,30.76,,春油菜,nbs_province
2020,新疆,,,14.31,,春油菜,nbs_province
2021,新疆,,,8.60,,春油菜,nbs_province
2022,新疆,,,8.13,,春油菜,nbs_province
2023,新疆,,,8.48,,春油菜,nbs_province
